departamento,año,temperatura_max
Pasco,2022,11.8
Piura,2012,31.01725806451613
Piura,2013,29.9891666666667
Piura,2014,31.3390909090909
Piura,2015,31.7181818181818
Piura,2016,32.3
Piura,2017,30.5754545454545
Piura,2018,31.3333333333333
Piura,2019,31.7833333333333
Piura,2020,NA
Piura,2021,30.308333333333334
Piura,2022,29.2
Puno,2012,15.605000000000002
Puno,2013,15.6483333333333
Puno,2014,16.0458333333333
Puno,2015,16.0925
Puno,2016,16.9
Puno,2017,16.2925
Puno,2018,15.975
Puno,2019,16.5666666666667
Puno,2020,NA
Puno,2021,16.19821442794561
Puno,2022,16.3
San Martín,2012,28.61666666666666
San Martín,2013,29.3208333333333
San Martín,2014,28.435
San Martín,2015,28.7216666666667
San Martín,2016,29.4
San Martín,2017,28.6266666666667
San Martín,2018,28.175
San Martín,2019,28.6
San Martín,2020,NA
San Martín,2021,28.71
San Martín,2022,29.2
Tacna,2012,23.955
Tacna,2013,23.6516666666667
Tacna,2014,23.6008333333333
Tacna,2015,24.3883333333333
Tacna,2016,24.8
Tacna,2017,24.2566666666667
Tacna,2018,24.0666666666667
Tacna,2019,23.6583333333333
Tacna,2020,24.322222222222223
Tacna,2021,22.84166666666667
Tacna,2022,22.8
Tumbes,2012,29.931666666666658
Tumbes,2013,29.39
Tumbes,2014,30.3141666666667
Tumbes,2015,32.0075
Tumbes,2016,31.6
Tumbes,2017,30.5358333333333
Tumbes,2018,30.5916666666667
Tumbes,2019,30.0333333333333
Tumbes,2020,NA
Tumbes,2021,27.608333333333334
Tumbes,2022,26.8
Ucayali,2012,31.772374551971325
Ucayali,2013,31.555
Ucayali,2014,31.3216666666667
Ucayali,2015,31.8975
Ucayali,2016,32
Ucayali,2017,31.7375
Ucayali,2018,31.7083333333333
Ucayali,2019,31.95
Ucayali,2020,NA
Ucayali,2021,31.916666666666668
Ucayali,2022,32.5
Áncash,2012,NA
Áncash,2013,20.895
Áncash,2014,20.8641666666667
Áncash,2015,21.6690909090909
Áncash,2016,21.8
Áncash,2017,20.8108333333333
Áncash,2018,20.5833333333333
Áncash,2019,21.0666666666667
Áncash,2020,NA
Áncash,2021,20.27752688172043
Áncash,2022,20.8
