area_de_conservacion,departamento,base_legal,sup_ha,fecha_promulgacion
Unchog,Huanuco,R.M. N? 240-2020-MINAM,885.28,2020-11-23
Pumahuasi,Cusco,R.M. N? 015-2020-MINAM,861.01,2020-01-16
Lomas de Quebrada Rio Seco,Lima,R.M. No 117-2021-MINAM,787.82,2021-07-09
Bosque Urum,Lambayeque,R.M. N? 029-2021-MINAM,705.95,2021-02-18
Wayqecha,Cusco,R.M. N? 357-2016-MINAM,593.8534,2016-11-22
Checca,Puno,R.M. No 147-2012-MINAM,560,2012-06-11
Bosque de Nogal y Bosque de Puentecilla,Piura,R.M. N? 134-2015-MINAM,449.26,2015-05-26
Masheke,Madre de Dios,R.M No 021-2019-MINAM,366.43,2019-02-07
Ronsoco Cocha,San Martin,R.M. N? 154-2015-MINAM,363.683,2015-06-08
San Antonio,Amazonas,R.M. No 227-2007-AG,357.39,2007-03-09
Paraje Capiro Llaylla,Junin,R.M. No 177-2021-MINAM,350.18,2021-09-25
Ilish Pichacoto,Junin,R.M. N? 365-2014-MINAM,329.26,2014-10-31
Bosque Seco San Juan de los Guayaquiles,Piura,R.M. N? 262-2017-MINAM,304.84,2017-09-15
Pillco Grande - Bosque de Pumataki,Cusco,R.M. No 299-2011-MINAM,271.62,2011-12-22
Fundo Rosita,Loreto,R.M. N? 179-2016-MINAM,244.925,2016-07-13
Bosque de Neblina Aypate - Olleros,Piura,R.M. N? 204-2016-MINAM,243.5,2016-07-27
Hatun Queuna-Quishuarani Ccollana,Cusco,R.M. No 005-2009-MINAM,234.88,2009-01-16
Bosque Cachil,Cajamarca,R.M. N? 037-2020-MINAM,210.4,2020-02-07
"Bosque Seco de la Comunidad Campesina Cesar Vallejo de Palo
Blanco",Piura,R.M. N? 106-2016-MINAM,200,2016-04-27
Bosque Seco de Chililique Alto,Piura,R.M. N? 202-2016-MINAM,200,2016-07-26
San Lorenzo,Amazonas,R.M. N? 194-2021-MINAM,191.14,2021-10-17
Tambopata Eco Lodge I,Madre de Dios,R.M. No 247-2021-MINAM,184.81,2021-12-31
Arroyo Negro,Amazonas,R.M. N? 113-2019-MINAM,156.42,2019-05-01
Los Amigos,Madre de Dios,R.M. No 245-2021-MINAM,140.35,2021-12-31
Panguana,Huanuco,R.M. No 300-2011-MINAM,135.6,2011-12-22
Bahuaja 1,Madre de Dios,R.M. N? 004-2017-MINAM,132.0384,2017-01-05
Bosque Seco Amotape,Tumbes,R.M. No 242-2010-MINAM,123.3,2010-12-01
Bosques de Cuyas Cuchayo,Piura,R.M. N? 153-2015-MINAM,102.65,2015-06-08
La Huerta del Chaparri,Lambayeque,R.M. No 266-2011-MINAM,100.0001,2011-11-11
Paraiso Natural Iwirati,Loreto,R.M. No 010-2014-MINAM,100,2014-01-14
Zoo Peru,Loreto,R.M. N? 261-2017-MINAM,80.625,2017-09-15
Zoo Peru 1,Loreto,R.M. N? 367-2019-MINAM,80.625,2019-12-02
Zaragoza,Pasco,R.M. N? 127-2017-MINAM,72.0491,2017-05-12
Abra Malaga Thastayoc - Royal Cinclodes,Cusco,R.M. No 004-2009-MINAM,70.644,2009-01-16
La Niebla Forest,Junin,R.M. N? 059-2020-MINAM,70.28,2020-02-26
El Cortijo Centro Piedras,Madre de Dios,R.M No 431-2018-MINAM,68.7276,2018-12-11
Buen Retiro,Loreto,R.M. N? 032-2020-MINAM,67.431,2020-02-03
Juningue,San Martin,R.M. No 026-2022-MINAM,65.56,2022-01-29
Hakim & Cumorah,Loreto,R.M. N? 124-2019-MINAM,61.7309,2019-05-05
Bosque Berlin,Amazonas,R.M. No 073-2013-MINAM,59,2013-03-04
Lakshmi Amazonica,Loreto,R.M. N? 333-2016-MINAM,56.660564,2016-11-02
Fundo Cadena,Cusco,R.M. N? 205-2016-MINAM,44.7374,2016-07-27
Predio Collpapampa (Huadquina-Mesada Chico),Cusco,R.M. No 244-2021-MINAM,43,2021-12-31
Refugio Lupuna,Madre de Dios,R.M No 367-2018-MINAM,41.9469,2018-10-24
Espiritu del Monte,Madre de Dios,R.M. No 146-2014-MINAM,40,2014-05-26
Aurora,Loreto,R.M. N? 024-2016-MINAM,38.9617,2016-02-09
Sumac Quilla,Loreto,R.M. N? 332-2016-MINAM,36.22,2016-11-02
Refugio K'erenda Homet,Madre de Dios,R.M. No 157-2010-MINAM,35.4,2010-09-06
Fundo Las Neblinas,Pasco,R.M. N? 311-2016-MINAM,30.362,2016-10-20
Sumac Pacha,Loreto,R.M. N? 334-2016-MINAM,30,2016-11-02
Las Naranjas,San Martin,R.M. N? 147-2018-MINAM,30,2018-04-18
Bosque Benjamin II,Madre de Dios,R.M. No 185-2013-MINAM,29,2013-06-21
Sumac Inti,Loreto,R.M. N? 342-2016-MINAM,27.2,2016-11-08
Naturaleza Viva Ryo,Madre de Dios,R.M No 436-2018-MINAM,26.3,2018-12-16
Bosque Benjamin III,Madre de Dios,R.M. No 213-2013-MINAM,26,2013-07-17
Selva Virgen,Loreto,R.M. No 203-2013-MINAM,24.51,2013-07-11
Pucunucho,San Martin,R.M. No 040-2013-MINAM,23.5,2013-02-15
Darshan Ashram,Loreto,R.M. N? 335-2017-MINAM,23.398,2017-11-07
Fundo San Isidro El Labrador,Loreto,R.M. N? 018-2020-MINAM,23.357,2020-01-20
Sabalillo,Loreto,R.M. N? 158-2016-MINAM,22.6864,2016-06-23
Larga Vista II,San Martin,R.M. No 021-2013-MINAM,22.5,2013-01-21
El Cortijo,Loreto,R.M. N? 358-2015-MINAM,22.35,2015-12-30
Larga Vista I,San Martin,R.M. No 020-2013-MINAM,22.32,2013-01-21
Machusaniaca I,Cusco,R.M. N? 193-2016-MINAM,22.0048,2016-07-26
Camino Verde Baltimore,Madre de Dios,R.M. No 346-2012-MINAM,21.07,2012-12-28
El Bosque Encantado de Sho'llet,Pasco,R.M. No 131-2022-MINAM,20.88,2022-05-29
Santuario de La Veronica,Cusco,R.M. N? 177-2016-MINAM,20.793,2016-07-08
Potsom Posho?II,Pasco,R.M. No 060-2021-MINAM,0,2021-03-31
Botafogo,Madre de Dios,R.M. N? 012-2016-MINAM,16.8744,2016-01-22
Palmonte,San Martin,R.M. N? 157-2016-MINAM,14.3082,2016-06-23
Tambo Ilusion,San Martin,R.M. No 075-2010-MINAM,14.29,2010-05-06
Bosque de Churumazu,Pasco,R.M. N? 330-2017-MINAM,14.0798,2017-11-02
Ni Meraya,Loreto,R.M. No 172-2021-MINAM,0,2021-09-22
Machusaniaca II,Cusco,R.M. N? 185-2016-MINAM,12.9836,2016-07-21
Wacan Numi,Loreto,R.M. N? 096-2015-MINAM,12.8,2015-04-24
Pablito II,Ucayali,R.M. No 214-2022-MINAM,12.52,2022-10-18
Cavernas de Leo,Amazonas,R.M. N? 301-2014-MINAM,12.5,2014-09-15
Kakiri Uka,Loreto,R.M. N? 234-2014-MINAM,12.14,2014-07-25
Bioparque Amazonico: Bosque de Huayo,Loreto,R.M No 270-2018-MINAM,10.758995,2018-07-24
Amazon Shelter,Madre de Dios,R.M. No 105-2014-MINAM,9.59,2014-04-14
Chakra Educativa,Loreto,R.M. N? 380-2016-MINAM,9.33675,2016-12-09
Gotas de Agua II,Cajamarca,R.M. No 268-2012-MINAM,7.5,2012-09-28
Las Panguanas 3,Loreto,R.M. No 385-2013-MINAM,6.87,2013-12-09
Fundo Miguel I,Ucayali,R.M. No 160-2022-MINAM,6.66,2022-08-13
Las Panguanas 4,Loreto,R.M. No 386-2013-MINAM,5.12,2013-12-09
Las Panguanas 1,Loreto,R.M. No 183-2014-MINAM,1.91,2014-06-23
Las Panguanas 2,Loreto,R.M. No 396-2013-MINAM,0.62,2013-12-27
