departamento,año,temperatura
Moquegua,2019,20.025
Moquegua,2020,NA
Moquegua,2021,18.608320977970784
Moquegua,2022,19.4
Pasco,2012,4.98622013142174
Pasco,2013,5.30833333333333
Pasco,2014,5.18583333333333
Pasco,2015,5.46416666666667
Pasco,2016,6
Pasco,2017,5.514444444444445
Pasco,2018,5.16666666666667
Pasco,2019,5.45833333333333
Pasco,2020,NA
Pasco,2021,NA
Pasco,2022,5.4
Piura,2012,25.1553823178017
Piura,2013,23.9175
Piura,2014,25.3081818181818
Piura,2015,26.0645454545455
Piura,2016,26
Piura,2017,24.95909090909091
Piura,2018,24.95
Piura,2019,25.3833333333333
Piura,2020,NA
Piura,2021,23.775000000000002
Piura,2022,22.5
Puno,2012,10.4508333333333
Puno,2013,10.2425
Puno,2014,10.5475
Puno,2015,10.3233333333333
Puno,2016,10.9
Puno,2017,10.562500000000002
Puno,2018,10.3916666666667
Puno,2019,10.7166666666667
Puno,2020,NA
Puno,2021,9.67736484616275
Puno,2022,9.7
San Martin,2012,22.8383333333333
San Martin,2013,22.9983333333333
San Martin,2014,22.7783333333333
San Martin,2015,22.93
San Martin,2016,23.6
San Martin,2017,23.06416666666667
San Martin,2018,22.75
San Martin,2019,22.95
San Martin,2020,NA
San Martin,2021,23.059999999999995
San Martin,2022,23.3
Tacna,2012,18.2166666666667
Tacna,2013,17.6733333333333
Tacna,2014,17.9825
Tacna,2015,18.845
Tacna,2016,18.8
Tacna,2017,18.491999999999997
Tacna,2018,18.475
Tacna,2019,18.2166666666667
Tacna,2020,18.82222222222222
Tacna,2021,17.758333333333336
Tacna,2022,17.5
Tumbes,2012,25.6375
Tumbes,2013,25.0725
Tumbes,2014,25.9708333333333
Tumbes,2015,27.2108333333333
Tumbes,2016,26.9
Tumbes,2017,25.799
Tumbes,2018,25.9583333333333
Tumbes,2019,26.2916666666667
Tumbes,2020,NA
Tumbes,2021,24.50833333333333
Tumbes,2022,24.2
Ucayali,2012,25.5482213776624
Ucayali,2013,25.5866666666667
Ucayali,2014,25.48
Ucayali,2015,25.9654545454545
Ucayali,2016,26
Ucayali,2017,25.902500000000003
Ucayali,2018,25.5416666666667
Ucayali,2019,25.7333333333333
Ucayali,2020,NA
Ucayali,2021,25.683333333333334
Ucayali,2022,26.1
