departamento,año,hum_rel
Piura,2013,74.6579166666667
Piura,2014,73.5690909090909
Piura,2015,76.0809090909091
Piura,2016,71.9
Piura,2017,72.73818181818181
Piura,2018,74.4416666666667
Piura,2019,74.275
Piura,2020,NA
Piura,2021,72.69166666666665
Piura,2022,71
Puno,2012,61.37
Puno,2013,64.2883333333333
Puno,2014,64.6841666666667
Puno,2015,67.7125
Puno,2016,62.2
Puno,2017,60.555
Puno,2018,61.575
Puno,2019,62.1333333333333
Puno,2020,NA
Puno,2021,55.304594516003526
Puno,2022,47
San Martin,2012,82.035
San Martin,2013,82.17
San Martin,2014,83.425
San Martin,2015,83.3775
San Martin,2016,81.1
San Martin,2017,82.53166666666665
San Martin,2018,83.6916666666667
San Martin,2019,83.3
San Martin,2020,NA
San Martin,2021,81.75
San Martin,2022,80
Tacna,2012,75.0083333333333
Tacna,2013,75.7016666666667
Tacna,2014,78.08
Tacna,2015,79.6116666666667
Tacna,2016,75.5
Tacna,2017,80.63300000000001
Tacna,2018,83.4
Tacna,2019,79.9083333333333
Tacna,2020,79.65555555555555
Tacna,2021,87.15000000000002
Tacna,2022,80
Tumbes,2012,85.0258333333333
Tumbes,2013,90.8183333333333
Tumbes,2014,90.8533333333333
Tumbes,2015,77.8009090909091
Tumbes,2016,79.3
Tumbes,2017,85.792
Tumbes,2018,81.5
Tumbes,2019,81.2083333333333
Tumbes,2020,NA
Tumbes,2021,82.65833333333335
Tumbes,2022,87
Ucayali,2012,89.9232473554076
Ucayali,2013,88.4933333333333
Ucayali,2014,89.885
Ucayali,2015,88.37
Ucayali,2016,87.5
Ucayali,2017,87.87416666666667
Ucayali,2018,87.7166666666667
Ucayali,2019,89.0833333333333
Ucayali,2020,NA
Ucayali,2021,86.65833333333335
Ucayali,2022,87
Ancash,2012,79.945
Ancash,2013,76.8233333333333
Ancash,2014,78.4808333333333
Ancash,2015,76.1781818181818
Ancash,2016,75
Ancash,2017,76.445
Ancash,2018,73.8583333333333
Ancash,2019,67.8916666666667
Ancash,2020,NA
Ancash,2021,65.36010199212578
Ancash,2022,63
